Title,Release Date,Language,Hero,Heroine
Hare Ram,18-07-2008,Telugu,Kalyan Ram,Priyamani
Bhale Dongalu,11-04-2008,Telugu,Tarun,Ileana D'Cruz
Gorintaku,04-07-2008,Telugu,Dr. Rajasekhar,Meera Jasmine
Nagaram,06-03-2008,Telugu,Srikanth,Kaveri Jha
Aatadista,20-03-2008,Telugu,Nithiin,Kajal Agarwal
Nenu Meeku Telusa...?,10-10-2008,Telugu,Manchu Manoj,Sneha Ullal
Bommana Brothers Chandana Sisters,18-04-2008,Telugu,Allari Naresh,Farzana Barucha
Vinayakudu,21-11-2008,Telugu,Krishnudu,Sonia Deepti
Victory,27-06-2008,Telugu,Nithiin,Mamta Mohandas
Andamaina manasulo,14-02-2008,Telugu,Sunil Varma,Remya Nambeesan
Rainbow,03-10-2008,Telugu,Rahul Haridas,Sonal Chauhan
Vishaka Express,02-02-2008,Telugu,Rajiv Kanakala,Preeti Jhangiani
Dongala Bandi,12-12-2008,Telugu,Allari Naresh,Kovai Sarala
Homam,28-08-2008,Telugu,Jagapati Babu,Mamta Mohandas
Siddu from Srikakulam,14-08-2008,Telugu,Allari Naresh,Manjari Fadnnis
Krishnarjuna,01-02-2008,Telugu,Nagarjuna Akkineni,Mamta Mohandas
Kalidasu,11-04-2008,Telugu,Sushanth,Tamannaah Bhatia
Appu Chesi Pappu Koodu,04-07-2008,Telugu,Rajendra Prasad,Madhumita Krishna
Okka Magaadu,11-01-2008,Telugu,Nandamuri Balakrishna,Simran
Pidichirukku,14-01-2008,Telugu,Ashok Kumar Balakrishnan,Vishakha Singh
Premabhishekam,14-03-2008,Telugu,Venu Madhav,Priya Mohan
Pourudu,13-01-2008,Telugu,Sumanth,Kajal Agarwal
Gaji Biji,08-08-2008,Telugu,Ali Basha,
Maa Ayana Chanti Pilladu,25-07-2008,Telugu,Sivaji Sontineni,Meera Jasmine
Yuvatha,07-11-2008,Telugu,Nikhil Siddhartha,Aksha Pardasany
Ankith Pallavi and Friends,05-09-2008,Telugu,Nikhil Siddhartha,
Mr. Medhavi,26-01-2008,Telugu,Sonu Sood,Genelia D'Souza
Mangatayaru Tiffin Centre,29-02-2008,Telugu,Jeeva,Mumaith Khan
Gunde Jallumandi,12-09-2008,Telugu,Uday Kiran,Aditi Sharma
Lakshmi Putrudu,29-02-2008,Telugu,Uday Kiran,Mumaith Khan
Tathagatha Buddha The Life & Times of Gautama Buddha,15-02-2008,Telugu,,
Michael Madana Kamaraju,18-04-2008,Telugu,,
Magadheera,31-07-2009,Telugu,Ram Charan,Kajal Agarwal
Aarya 2,27-11-2009,Telugu,Allu Arjun,Kajal Agarwal
Eenadu,18-09-2009,Telugu,Kamal Haasan,Lakshmi
Maska,14-01-2009,Telugu,Ram Pothineni,Hansika Motwani
Arundhati,16-01-2009,Telugu,Sonu Sood,Anushka Shetty
Ride,05-06-2009,Telugu,Tanish Alladi,Shweta Basu Prasad
Raju Maharaju,19-06-2009,Telugu,Mohan Babu,Surveen Chawla
Oy!,03-07-2009,Telugu,Siddharth,Shamili
Aa Okkadu,05-06-2009,Telugu,Ajay,Nyra Banerjee
Kick,08-05-2009,Telugu,Ravi Teja,Ileana D'Cruz
Josh,05-09-2009,Telugu,Naga Chaitanya Akkineni,Karthika Nair
Ganesh,24-09-2009,Telugu,Ram Pothineni,Kajal Agarwal
Billa,03-04-2009,Telugu,Prabhas,Anushka Shetty
Ek Niranjan,29-10-2009,Telugu,Prabhas,Kangana Ranaut
Rechipo,25-09-2009,Telugu,Nithiin,Ileana D'Cruz
Saleem,12-12-2009,Telugu,Vishnu Manchu,Ileana D'Cruz
Sasirekha Parinayam,01-01-2009,Telugu,Tarun,Genelia D'Souza
Konchem Ishtam Konchem Kashtam,05-02-2009,Telugu,Siddharth,Tamannaah Bhatia
Anjaneyulu,12-08-2009,Telugu,Ravi Teja,Nayanthara
Drona,20-02-2009,Telugu,Nithiin,Priyamani
A Aa E Ee,06-11-2009,Telugu,Srikanth,Meera Jasmine
Snehituda,07-08-2009,Telugu,Nani,Madhavi Latha
Fitting Master,14-01-2009,Telugu,Allari Naresh,Saira Banu
Jayeebhava,23-10-2009,Telugu,Kalyan Ram,Hansika Motwani
Current,19-06-2009,Telugu,Sushanth,Sneha Ullal
Kurradu,12-11-2009,Telugu,Varun Sandesh,Neha Sharma
Shankam,11-09-2009,Telugu,Gopichand,Trisha Krishnan
Posani Gentleman,25-12-2009,Telugu,Posani Krishna Murali,Aarthi Agarwal
Pravarakyudu,04-12-2009,Telugu,Jagapati Babu,Priyamani
Siddham,12-02-2009,Telugu,Jagapati Babu,Sindhu Menon
Mahatma,09-10-2009,Telugu,Srikanth,Bhavana
Bendu Apparao R.M.P,16-10-2009,Telugu,Allari Naresh,Kamna Jethmalani
Punnami Nagu,10-04-2009,Telugu,Rajiv Kanakala,Mumaith Khan
Anjani Putrudu,29-06-2009,Telugu,Nagendra Babu,Apoorva
Bumper Offer,23-10-2009,Telugu,Sairam Shankar,Bindu Madhavi
Katha,12-12-2009,Telugu,Thrigun,Genelia D'Souza
Ninnu Kalisaka,02-10-2009,Telugu,Chaitanya Krishna,Pia Bajpiee
Prayanam,29-05-2009,Telugu,Manchu Manoj,Payal Ghosh
Kalavaramaye Madilo,17-07-2009,Telugu,Kamal Kamaraju,Swathi Reddy
Kasko,25-12-2009,Telugu,Vaibhav,Shweta Basu Prasad
Naa Style Veru,12-06-2009,Telugu,Dr. Rajasekhar,Bhumika Chawla
Bangaru Babu,01-05-2009,Telugu,Jagapati Babu,Meera Jasmine
Amaravathi,03-12-2009,Telugu,Nandamuri Taraka Ratna,Bhumika Chawla
Naa Girl Friend Baga Rich,06-03-2009,Telugu,Sivaji Sontineni,Kaveri Jha
Baanam,16-09-2009,Telugu,Nara Rohith,
Kavya's Diary,05-06-2009,Telugu,Indrajith Sukumaran,Manjula Ghattamaneni
Samardhudu,18-09-2009,Telugu,Krishnam Raju,Sanjjanaa Galrani
Manorama,31-03-2009,Telugu,Nishan K. P. Nanaiah,Charmy Kaur
Life Style,01-01-2009,Telugu,Brahmanandam,Meenakshi Dixit
Sontha ooru,21-03-2009,Telugu,L. B. Sriram,
Aa Intlo,16-07-2009,Telugu,Chinna,Flora Saini
Diary,29-05-2009,Telugu,Sivaji Sontineni,Shraddha Das
Mental Krishna,01-01-2009,Telugu,Posani Krishna Murali,Satya Krishnan
Satyameva Jeyate,13-02-2009,Telugu,Dr. Rajasekhar,Neetu Chandra
Masth,23-01-2009,Telugu,,
Darling,23-04-2010,Telugu,Prabhas,Kajal Agarwal
Nagavalli,16-12-2010,Telugu,Venkatesh,Richa Gangopadhyay
Shambo Shiva Shambo,14-01-2010,Telugu,Ravi Teja,Priyamani
Adhurs,13-01-2010,Telugu,N.T. Rama Rao Jr.,Nayanthara
Bindaas,05-02-2010,Telugu,Manchu Manoj,Sheena Shahabadi
Rama Rama Krishna Krishna,12-05-2010,Telugu,Ram Pothineni,Priya Anand
Khaleja,07-10-2010,Telugu,Mahesh Babu,Anushka Shetty
Maryada Ramanna,23-07-2010,Telugu,Sunil Varma,Saloni Aswani
Vedam,04-06-2010,Telugu,Manchu Manoj,Anushka Shetty
Don Seenu,06-08-2010,Telugu,Ravi Teja,Shriya Saran
Ye Maaya Chesave,26-02-2010,Telugu,Naga Chaitanya Akkineni,Samantha Ruth Prabhu
Brindavanam,14-10-2010,Telugu,N.T. Rama Rao Jr.,Kajal Agarwal
Maro Charitra,25-03-2010,Telugu,Varun Sandesh,Shraddha Das
Orange,25-11-2010,Telugu,Ram Charan,Genelia D'Souza
Varudu,31-03-2010,Telugu,Allu Arjun,Bhanu Sri Mehra
Simha,30-04-2010,Telugu,Nandamuri Balakrishna,Nayanthara
Leader,19-02-2010,Telugu,Rana Daggubati,Priya Anand
Om Shanti,13-01-2010,Telugu,Navdeep,Kajal Agarwal
Kalavar King,26-02-2010,Telugu,Nikhil Siddhartha,Shweta Basu Prasad
Golimaar,27-05-2010,Telugu,Gopichand,Priyamani
Ragada,23-12-2010,Telugu,Nagarjuna Akkineni,Anushka Shetty
Bheemili Kabaddi Jattu,09-07-2010,Telugu,Nani,Saranya Mohan
Aakasa Ramanna,12-03-2010,Telugu,Rajiv Kanakala,Meera Jasmine
Andari Bandhuvaya,14-05-2010,Telugu,Sharwanand,Padmapriya Janakiraman
Saradaga Kasepu,10-09-2010,Telugu,Allari Naresh,Nyra Banerjee
Komaram Puli,10-09-2010,Telugu,Pawan Kalyan,Nikesha Patel
Panchakshari,11-06-2010,Telugu,Nassar,Anushka Shetty
Jhummandi Naadam,01-07-2010,Telugu,Manchu Manoj,Taapsee Pannu
Prasthanam,16-04-2010,Telugu,Sharwanand,Pavitra Lokesh
Sneha Geetham,16-07-2010,Telugu,Sundeep Kishan,Shreya Dhanwanthary
Yemaindi Ee Vela,12-11-2010,Telugu,Varun Sandesh,Nisha Agarwal
Gaayam 2,03-09-2010,Telugu,Jagapati Babu,Vimala Raman
Seeta Ramula Kalyanam Lankalo,22-01-2010,Telugu,Nithiin,Hansika Motwani
Thakita Thakita,09-03-2010,Telugu,Harshvardhan Rane,Hariprriya
Namo Venkatesa,14-01-2010,Telugu,Venkatesh,Trisha Krishnan
Police Police,09-04-2010,Telugu,Srikanth,Kamalinee Mukherjee
Maa Nanna Chiranjeevi,01-01-2010,Telugu,Jagapati Babu,Telangana Sakuntala
Subhapradam,16-07-2010,Telugu,Allari Naresh,Manjari Fadnnis
1940 Lo Oka Gramam,16-04-2010,Telugu,Baladitya,Rajitha
Yagam,19-03-2010,Telugu,Navdeep,Bhumika Chawla
Karma,26-11-2010,Telugu,Adivi Sesh,Jade Tailor
Kalyan Ram Kathi,12-11-2010,Telugu,Kalyan Ram,Sana Khaan
Manasara...,12-10-2010,Telugu,M. S. Narayana,Sri Divya
Baava,29-10-2010,Telugu,Siddharth,Pranitha Subhash
Betting Bangarraju,09-04-2010,Telugu,Allari Naresh,Surekha Vani
Kothi Mooka,30-07-2010,Telugu,Brahmanandam,Shraddha Arya
Broker,31-12-2010,Telugu,Ananth Babu,
Inkosari,26-02-2010,Telugu,,Richa Pallod
Kedi,11-02-2010,Telugu,Nagarjuna Akkineni,Mamta Mohandas
Brahmalokam to Yamalokam via Bhulokam,29-07-2010,Telugu,Sivaji Sontineni,Sonia Bose Venkat
Sye Aata,13-08-2010,Telugu,Ajay,Charmy Kaur
Happy Happy Ga,20-08-2010,Telugu,Varun Sandesh,Saranya Mohan
Ranga the Donga,30-12-2010,Telugu,Srikanth,Vimala Raman
Buridi,01-01-2010,Telugu,Brahmanandam,Aishwarya Bhaskar
Alasyam Amrutham,03-12-2010,Telugu,Nikhil Siddhartha,Madalasa Sharma
Maa Annayya Bangaram,31-07-2010,Telugu,,
10th Lo Premalo Padithe,01-01-2010,Telugu,,
Platform No. 5,12-02-2010,Telugu,,
Bhairava IPS,24-09-2010,Telugu,,
Rajanna,12-11-2011,Telugu,Nagarjuna Akkineni,Annie
Sri Rama Rajyam,17-11-2011,Telugu,Nandamuri Balakrishna,Nayanthara
Once Upon a Warrior,14-01-2011,Telugu,Siddharth,Harshita
Dookudu,23-09-2011,Telugu,Mahesh Babu,Samantha Ruth Prabhu
Pilla Zamindar,14-10-2011,Telugu,Nani,Hariprriya
Golconda High School,14-01-2011,Telugu,Sumanth,Swathi Reddy
Solo,25-11-2011,Telugu,Nara Rohith,Nisha Agarwal
Katha Screenplay Darsakatvam Appalaraju,18-02-2011,Telugu,Sunil Varma,Swathi Reddy
Veera,20-05-2011,Telugu,Ravi Teja,Kajal Agarwal
Mr. Perfect,21-04-2011,Telugu,Prabhas,Kajal Agarwal
Shakti,01-04-2011,Telugu,N.T. Rama Rao Jr.,Ileana D'Cruz
Badrinath,10-06-2011,Telugu,Allu Arjun,Tamannaah Bhatia
100% Love,06-05-2011,Telugu,Naga Chaitanya Akkineni,Tamannaah Bhatia
Panjaa,09-12-2011,Telugu,Pawan Kalyan,Sarah-Jane Dias
Gaganam,11-02-2011,Telugu,Nagarjuna Akkineni,Poonam Kaur
Mogudu,04-11-2011,Telugu,Gopichand,Taapsee Pannu
Dhada,11-08-2011,Telugu,Naga Chaitanya Akkineni,Kajal Agarwal
Vastadu Naa Raju,11-02-2011,Telugu,Vishnu Manchu,Taapsee Pannu
Ala Modalaindi,21-01-2011,Telugu,Nani,Nithya Menen
Mirapakay,12-01-2011,Telugu,Ravi Teja,Richa Gangopadhyay
Virodhi,01-07-2011,Telugu,Srikanth,Kamalinee Mukherjee
Teen Maar,14-04-2011,Telugu,Pawan Kalyan,Trisha Krishnan
Daggaraga Dooranga,26-08-2011,Telugu,Sumanth,Vedhika
Nuvvila,03-11-2011,Telugu,Vijay Deverakonda,Yami Gautam
Kandireega,12-08-2011,Telugu,Ram Pothineni,Hansika Motwani
Prema Kavali,25-02-2011,Telugu,Aadi Saikumar,Isha Chawla
Oosaravelli,06-10-2011,Telugu,N.T. Rama Rao Jr.,Tamannaah Bhatia
Chattam,25-03-2011,Telugu,Jagapati Babu,Vimala Raman
Nenu Naa Rakshasi,29-04-2011,Telugu,Rana Daggubati,Ileana D'Cruz
Madatha Kaaja,30-09-2011,Telugu,Allari Naresh,Sneha Ullal
Money Money More Money,26-08-2011,Telugu,J. D. Chakravarthi,Tara Alisha Berry
Brahmi gadi Katha,08-07-2011,Telugu,Brahmanandam,Asmita Sood
It's My Love Story,11-11-2011,Telugu,Arvind Krishna,Nikitha Narayan
Rakta Patham,18-03-2011,Telugu,Shivaraj Kumar,Genelia D'Souza
Dongala Mutha,18-04-2011,Telugu,Ravi Teja,Charmy Kaur
Kudirithe Kappu Coffee,25-02-2011,Telugu,Varun Sandesh,
Oh My Friend,11-11-2011,Telugu,Siddharth,Shruti Haasan
Bejawada,01-12-2011,Telugu,Naga Chaitanya Akkineni,Amala Paul
Kshetram,29-12-2011,Telugu,Shaam,Priyamani
Veedu Theda,18-11-2011,Telugu,Nikhil Siddhartha,Puja Banerjee
Parama Veera Chakra,12-01-2011,Telugu,Nandamuri Balakrishna,Ameesha Patel
Raaj,18-03-2011,Telugu,Sumanth,Vimala Raman
Aha Naa Pellanta,02-03-2011,Telugu,Allari Naresh,Anita Hassanandani Reddy
Koffi Bar,29-04-2011,Telugu,Shashank,
Seema Tapakai,13-05-2011,Telugu,Allari Naresh,Poorna
Vykuntapali,27-05-2011,Telugu,Krishnudu,Tashu Kaushik
Dussasana,27-05-2011,Telugu,Srikanth,
Key,16-07-2011,Telugu,Jagapati Babu,Swapna
Vareva,29-01-2011,Telugu,Brahmanandam,
Bet,05-02-2011,Telugu,Bharath Srinivasan,
Mayagadu,16-07-2011,Telugu,,
Jai Bholo Telangan,04-02-2011,Telugu,Jagapati Babu,Smriti Irani
Sanchalanam,01-01-2011,Telugu,,
Vanakanya Wonder Veerudu,01-01-2011,Telugu,,Aarthi Agarwal
A Cigarette Ago,22-01-2011,Telugu,,
Eega,05-07-2012,Telugu,Sudeep,Samantha Ruth Prabhu
Ishq,24-02-2012,Telugu,Nithiin,Nithya Menen
Businessman,13-01-2012,Telugu,Mahesh Babu,Kajal Agarwal
All the Best,29-06-2012,Telugu,J. D. Chakravarthi,Siddhika Sharma
Bus Stop,11-11-2012,Telugu,Prince Cecil,Sri Divya
Bodyguard,14-01-2012,Telugu,Venkatesh,Trisha Krishnan
Julayi,09-08-2012,Telugu,Allu Arjun,Ileana D'Cruz
Sarocharu,21-12-2012,Telugu,Ravi Teja,Kajal Agarwal
Gabbar Singh,11-05-2012,Telugu,Pawan Kalyan,Shruti Haasan
Dhammu,27-04-2012,Telugu,N.T. Rama Rao Jr.,Trisha Krishnan
Srimannarayana,30-08-2012,Telugu,Nandamuri Balakrishna,Isha Chawla
Daruvu,24-05-2012,Telugu,Ravi Teja,Taapsee Pannu
Cameraman Ganga Tho Rambabu,17-10-2012,Telugu,Pawan Kalyan,Tamannaah Bhatia
Shirdi Sai,06-09-2012,Telugu,Nagarjuna Akkineni,Pramodini Pammi
Yeto Vellipoyindhi Manasu,13-12-2012,Telugu,Nani,Samantha Ruth Prabhu
Avunu,21-09-2012,Telugu,Harshvardhan Rane,Poorna
Mithunam,21-12-2012,Telugu,S. P. Balasubramaniam,Lakshmi
Dhenikaina Ready,23-10-2012,Telugu,Vishnu Manchu,Hansika Motwani
Andala Rakshasi,10-08-2012,Telugu,Rahul Ravindran,Lavanya Tripathi
Life Is Beautiful,14-09-2012,Telugu,Naveen Polishetty,Shriya Saran
Lovely,30-03-2012,Telugu,Aadi Saikumar,Shanvi Shrivastava
Naa Ishtam,23-03-2012,Telugu,Rana Daggubati,Genelia D'Souza
Adhinayakudu,01-06-2012,Telugu,Nandamuri Balakrishna,Raai Laxmi
Poola Rangadu,18-02-2012,Telugu,Sunil Varma,Isha Chawla
Uu Kodathara Ulikki Padathara,23-07-2012,Telugu,Manchu Manoj,Lakshmi Manchu
Krishnam Vande Jagadgurum,30-11-2012,Telugu,Rana Daggubati,Nayanthara
Devudu Chesina Manushulu,15-08-2012,Telugu,Ravi Teja,Ileana D'Cruz
Rachcha,05-04-2012,Telugu,Ram Charan,Tamannaah Bhatia
Ee Rojullo,13-03-2012,Telugu,Mangam Srinivas,Reshma Rathore
Damarukam,23-11-2012,Telugu,Nagarjuna Akkineni,Anushka Shetty
Endukante Premanta,08-06-2012,Telugu,Ram Pothineni,Tamannaah Bhatia
Neeku Naaku Dash Dash,12-04-2012,Telugu,Prince Cecil,Nandita Raj
Nuvva Nena,16-03-2012,Telugu,Allari Naresh,Shriya Saran
Routine Love Story,23-11-2012,Telugu,Sundeep Kishan,Regina Cassandra
SMS,10-02-2012,Telugu,Sudheer Babu,Regina Cassandra
Devaraya,07-12-2012,Telugu,Srikanth,Meenakshi Dixit
Ayyare,20-01-2012,Telugu,Rajendra Prasad,
Sudigaadu,24-08-2012,Telugu,Allari Naresh,Kovai Sarala
Tuneega Tuneega,22-07-2012,Telugu,Sumanth Ashwin,Rhea Chakraborty
Nippu,17-02-2012,Telugu,Ravi Teja,Deeksha Seth
Ramadandu,03-02-2012,Telugu,Krishnudu,
Rebel,28-09-2012,Telugu,Prabhas,Tamannaah Bhatia
Mythri,30-11-2012,Telugu,Navdeep,Sadha
Yamudiki Mogudu,27-12-2012,Telugu,Allari Naresh,Richa Panai
Ko Antey Koti,28-12-2012,Telugu,Sharwanand,Priya Anand
Memu Vayasuku Vacham,23-06-2012,Telugu,Tanish Alladi,
6,26-10-2012,Telugu,Jagapati Babu,Gayathri Iyer
Artificial,27-04-2012,Telugu,Abhinav Gomatam,
Chanakyudu,01-01-2012,Telugu,,
Kulu Manali,05-03-2012,Telugu,Krishnudu,Vimala Raman
Love Journey,01-01-2012,Telugu,,Shazahn Padamsee
"O Friend, This Waiting!",28-12-2012,Telugu,,
Oka Romantic Crime Katha,15-06-2012,Telugu,,
Seethamma Vakitlo Sirimalle Chettu,11-01-2013,Telugu,Venkatesh,Anjali
Thoofan,06-09-2013,Telugu,Ram Charan,Priyanka Chopra Jonas
Naayak,09-01-2013,Telugu,Ram Charan,Kajal Agarwal
Balupu,29-06-2013,Telugu,Ravi Teja,Shruti Haasan
Iddarammayilatho,31-05-2013,Telugu,Allu Arjun,Amala Paul
Swamy Ra Ra,29-03-2013,Telugu,Nikhil Siddhartha,Swathi Reddy
Baadshah,05-04-2013,Telugu,N.T. Rama Rao Jr.,Kajal Agarwal
Kamalatho Naa Prayanam,01-06-2013,Telugu,Sivaji Sontineni,Archana
Ramayya Vasthavayya,10-10-2013,Telugu,N.T. Rama Rao Jr.,Samantha Ruth Prabhu
Atharintiki Daaredi,27-09-2013,Telugu,Pawan Kalyan,Samantha Ruth Prabhu
Chandi: The Power of Woman,08-11-2013,Telugu,Krishnam Raju,Priyamani
Greeku Veerudu,02-05-2013,Telugu,Nagarjuna Akkineni,Nayanthara
Potugadu,13-09-2013,Telugu,Manchu Manoj,Sakshi Chaudhary
Kevvu Keka,19-07-2013,Telugu,Allari Naresh,Sharmiela Mandre
Uyyala Jampala,25-12-2013,Telugu,Raj Tarun,Avika Gor
Sahasam,12-07-2013,Telugu,Gopichand,Taapsee Pannu
Jagadguru Adi Shankara,15-08-2013,Telugu,Nagarjuna Akkineni,Meena
Mirchi,08-02-2013,Telugu,Prabhas,Anushka Shetty
Paisa,05-12-2013,Telugu,Nani,Catherine Tresa
Doosukeltha,17-10-2013,Telugu,Vishnu Manchu,Lavanya Tripathi
Telugabbai,09-03-2013,Telugu,Tanish Alladi,Tashu Kaushik
Ramachari Eedo Pedda Goodachari,17-05-2013,Telugu,Venu Thottempudi,Kamalinee Mukherjee
Masala,23-10-2013,Telugu,Venkatesh,Anjali
Shadow,26-04-2013,Telugu,Venkatesh,Taapsee Pannu
Bhai,25-10-2013,Telugu,Nagarjuna Akkineni,Richa Gangopadhyay
Ongole Githa,01-02-2013,Telugu,Ram Pothineni,Kriti Kharbanda
Tadakha,10-05-2013,Telugu,Naga Chaitanya Akkineni,Tamannaah Bhatia
Mr.PelliKoduku,01-03-2013,Telugu,Sunil Varma,Isha Chawla
Gunde Jaari Gallanthayyinde,19-04-2013,Telugu,Nithiin,Nithya Menen
Priyathama Neevachata Kusalama,23-03-2013,Telugu,Varun Sandesh,Komal Jha
Venkatadri Express,30-11-2013,Telugu,Sundeep Kishan,Rakul Preet Singh
Gundello Godari,08-03-2013,Telugu,Aadhi Pinisetty,Lakshmi Manchu
Okkadine,14-02-2013,Telugu,Nara Rohith,Nithya Menen
Action 3D,21-06-2013,Telugu,Allari Naresh,Sneha Ullal
Kamina,01-01-2013,Telugu,Brahmaji,Roja Selvamani
Alias Janaki,26-07-2013,Telugu,Venkat Rahul,Anisha Ambrose
Aravind 2,08-02-2013,Telugu,Mangam Srinivas,Madhavi Latha
Pavithra,07-06-2013,Telugu,Sai Kumar,Shriya Saran
Mahankali,08-03-2013,Telugu,Dr. Rajasekhar,Kausha Rach
Anthaka Mundu Aa Tarvatha,23-08-2013,Telugu,Sumanth Ashwin,Eesha Rebba
Adda,15-08-2013,Telugu,Sushanth,Shanvi Shrivastava
Abbayi Class Ammayi Mass,03-08-2013,Telugu,Varun Sandesh,Hariprriya
D for Dopidi,25-12-2013,Telugu,Varun Sandesh,Melanie Kannokada
Prema Katha Chitram,07-06-2013,Telugu,Sudheer Babu,Nandita Raj
Vasool Raja,02-08-2013,Telugu,Navdeep,
Om 3D,18-07-2013,Telugu,Kalyan Ram,Kriti Kharbanda
Aadu Magaadra Bujji,09-08-2013,Telugu,Sudheer Babu,Poonam Kaur
Back Bench Student,15-03-2013,Telugu,Mahat Raghavendra,Pia Bajpiee
Prema Oka Maikam,30-08-2013,Telugu,Ravi Babu,Charmy Kaur
Race,01-03-2013,Telugu,Srinivasa Reddy,Disha Pandey
3G Love,15-03-2013,Telugu,Rao Ramesh,
Jabardasth,22-02-2013,Telugu,Siddharth,Samantha Ruth Prabhu
Welcome obama,20-09-2013,Telugu,Anantha Sriram,Urmilla Kothare
Jaffa,29-03-2013,Telugu,Brahmanandam,
Saradaga Ammayitho,14-06-2013,Telugu,Varun Sandesh,Nisha Agarwal
Prema ishq kaadhal,06-12-2013,Telugu,Harshvardhan Rane,Vithika Sheru
Operation Duryodhana 2,05-07-2013,Telugu,Jagapati Babu,Flora Saini
DK Bose,14-11-2013,Telugu,Sundeep Kishan,Nisha Agarwal
Naa Bangaaru Talli,21-11-2013,Telugu,Siddique,Anjali Patil
Chinni Chinni Aasa,08-11-2013,Telugu,Singeetam Srinivasa Rao,Aparna Nair
Dalam,15-08-2013,Telugu,Naveen Chandra,Pia Bajpiee
Gatham,01-01-2013,Telugu,,
Akasamlo Sagam,26-07-2013,Telugu,,
D/o Varma,28-09-2013,Telugu,Dhanraj Sukhram,
Rye Rye,15-04-2013,Telugu,,
Gurudu,20-06-2013,Telugu,,
Gouravam,18-04-2013,Telugu,Allu Sirish,Yami Gautam
Feather,16-03-2013,Telugu,,
Dasa Tirigindi,24-05-2013,Telugu,Sivaji Sontineni,Sadha
Yevadu,12-01-2014,Telugu,Ram Charan,Jayasudha
Aagadu,19-09-2014,Telugu,Mahesh Babu,Tamannaah Bhatia
1: Nenokkadine,10-01-2014,Telugu,Mahesh Babu,Kriti Sanon
Manam,23-05-2014,Telugu,Nagarjuna Akkineni,Shriya Saran
Race Gurram,11-04-2014,Telugu,Allu Arjun,Shruti Haasan
Oka Laila Kosam,17-10-2014,Telugu,Naga Chaitanya Akkineni,Pooja Hegde
Oohalu Gusagusalade,20-06-2014,Telugu,Naga Shaurya,Raashii Khanna
Legend,28-03-2014,Telugu,Nandamuri Balakrishna,Sonal Chauhan
Karthikeya,24-10-2014,Telugu,Nikhil Siddhartha,Swathi Reddy
Rabhasa,28-08-2014,Telugu,N.T. Rama Rao Jr.,Samantha Ruth Prabhu
Drushyam,11-07-2014,Telugu,Venkatesh,Meena
Govindudu Andarivaadele,01-10-2014,Telugu,Ram Charan,Kajal Agarwal
Alludu Seenu,25-07-2014,Telugu,Bellamkonda Srinivas,Samantha Ruth Prabhu
Current Theega,31-10-2014,Telugu,Manchu Manoj,Rakul Preet Singh
Run Raja Run,01-08-2014,Telugu,Sharwanand,Seerat Kapoor
Romeo,10-10-2014,Telugu,Sairam Shankar,Pragathi Mahavadi
Rowdy,04-04-2014,Telugu,Mohan Babu,Jayasudha
Rowdy Fellow,21-11-2014,Telugu,Nara Rohith,Vishakha Singh
Autonagar Surya,07-02-2014,Telugu,Naga Chaitanya Akkineni,Samantha Ruth Prabhu
Pilla Nuvvu Leni Jeevitham,14-11-2014,Telugu,Sai Durgha Tej,Regina Cassandra
Heart Attack,31-01-2014,Telugu,Nithiin,Adah Sharma
Loukyam,26-09-2014,Telugu,Gopichand,Rakul Preet Singh
Power,12-09-2014,Telugu,Ravi Teja,Hansika Motwani
Mukunda,26-12-2014,Telugu,Varun Tej,Pooja Hegde
Chandamama Kathalu,25-04-2014,Telugu,Kishore,Lakshmi Manchu
Galipatam,08-08-2014,Telugu,Aadi Saikumar,Erica Fernandes
Green Signal,30-05-2014,Telugu,Chammak Chandra,Anandhi
Anukshanam,12-09-2014,Telugu,Vishnu Manchu,Revathi
Boochamma Boochodu,09-07-2014,Telugu,Sivaji Sontineni,Kainaz Motivala
Ra Ra Krishnayya,04-07-2014,Telugu,Sundeep Kishan,Regina Cassandra
Kotha Janta,02-05-2014,Telugu,Allu Sirish,Regina Cassandra
Kshatriya,01-01-2014,Telugu,Srikanth,Annapoorna
Chinnadana Nee Kosam,25-12-2014,Telugu,Nithiin,Mishti Chakravarty
Lovers,15-08-2014,Telugu,Sumanth Ashwin,Nandita Raj
Amrutham Chandamama Lo,17-05-2014,Telugu,Srinivas Avasarala,Dhanya Balakrishna
Jump Jilani,12-06-2014,Telugu,Allari Naresh,Isha Chawla
Paathshala,10-10-2014,Telugu,Nandu Vijay Krishna,Anupriya Goenka
Ice Cream,12-07-2014,Telugu,Navdeep,Tejaswi Madivada
Brother of Bommali,08-10-2014,Telugu,Allari Naresh,Karthika Nair
Rough,28-11-2014,Telugu,Aadi Saikumar,Rakul Preet Singh
Dikkulu Choodaku Ramayya,10-10-2014,Telugu,Naga Shaurya,Sana Makbul
Prathinidhi,25-04-2014,Telugu,Nara Rohith,Shubra Aaiyappa
Love You Bangaram,24-01-2014,Telugu,Rahul Haridas,Shravya
Paandavulu Paandavulu Thummeda,31-01-2014,Telugu,Mohan Babu,Raveena Tandon
Avatharam,18-04-2014,Telugu,Richard Rishi,Radhika Kumaraswamy
Ice Cream 2,21-11-2014,Telugu,J. D. Chakravarthi,Gayatri Gupta
Joru,07-11-2014,Telugu,Sundeep Kishan,Raashii Khanna
Exploring ''Shiva'' Movie After 25 Years,08-10-2014,Telugu,Ram Gopal Varma,Amala Akkineni
